id,source
18389442,chloroplast Psilotum nudum
18860289,chloroplast Psilotum nudum
30266690,chloroplast Adiantum capillus-veneris
30352011,chloroplast Adiantum capillus-veneris
110628278,chloroplast Angiopteris evecta
124302880,chloroplast Angiopteris evecta
218454801,chloroplast Alsophila spinulosa
242910132,chloroplast Alsophila spinulosa
281371607,chloroplast Equisetum arvense (field horsetail)
295791949,chloroplast Gleichenia japonica
295791960,chloroplast Osmundastrum cinnamomeum (cinnamon fern)
295791971,chloroplast Vandenboschia radicans
295791981,chloroplast Marsilea mutica
295791992,chloroplast Dicksonia antarctica
295791998,chloroplast Lygodium japonicum
301016249,chloroplast Pteridium aquilinum subsp. aquilinum
301353331,chloroplast Pteridium aquilinum subsp. aquilinum
302375416,chloroplast Myriopteris lindheimeri
308745983,chloroplast Myriopteris lindheimeri
313183887,chloroplast Equisetum arvense (field horsetail)
332015856,plastid Plagiogyria japonica
332015866,plastid Equisetum ramosissimum
332015867,plastid Equisetum arvense (field horsetail)
359751518,plastid Equisetum arvense (field horsetail)
383930550,chloroplast Mankyua chejuensis
441017802,chloroplast Equisetum hyemale
441017901,chloroplast Ophioglossum californicum
441017993,chloroplast Psilotum nudum
443267200,chloroplast Ophioglossum californicum
443329611,chloroplast Equisetum hyemale
474452383,chloroplast Lygodium japonicum
474452474,chloroplast Marsilea crenata
533310270,chloroplast Lygodium japonicum
542687235,chloroplast Marsilea crenata
558516496,chloroplast Osmundastrum cinnamomeum (cinnamon fern)
558516581,chloroplast Lygodium japonicum
558516635,chloroplast Diplopterygium glaucum
633674828,plastid Dicksonia squarrosa
633674877,plastid Tmesipteris elongata
649130964,chloroplast Osmundastrum cinnamomeum (cinnamon fern)
649131067,chloroplast Diplopterygium glaucum
693583130,chloroplast Ceratopteris richardii
727397313,chloroplast Mankyua chejuensis
748762970,chloroplast Dipteris conjugata
748763025,chloroplast Cystopteris protrusa
748763110,chloroplast Plagiogyria glauca
748763192,chloroplast Polypodium glycyrrhiza
748990836,plastid Angiopteris angustifolia
752789864,plastid Angiopteris angustifolia
755161331,plastid Mankyua chejuensis
817161807,chloroplast Cyrtomium falcatum
952009389,chloroplast Cyrtomium devexiscapulae
952009479,chloroplast Woodwardia unigemmata
959123260,chloroplast Cyrtomium devexiscapulae
959123350,chloroplast Woodwardia unigemmata
966201822,chloroplast Cyrtomium falcatum
1078191322,chloroplast Actinostachys pennula
1104323250,chloroplast Botrychium ternatum
1104323252,chloroplast Helminthostachys zeylanica (kamraj)
1129604556,chloroplast Schizaea elegans
1129604640,chloroplast Schizaea pectinata
1131389821,chloroplast Dryopteris fragrans
1177818041,chloroplast Drynaria roosii
1227542356,chloroplast Athyrium anisopterum
1227542444,chloroplast Lepisorus clathratus
1236178171,chloroplast Ampelopteris elegans
1236178260,chloroplast Athyrium sheareri
1236178349,chloroplast Asplenium pekinense
1236178438,chloroplast Asplenium prolongatum
1236178526,chloroplast Athyrium sinense
1236178615,chloroplast Austroblechnum melanocaulon
1236178704,chloroplast Athyrium opacum
1236178793,chloroplast Cyclosorus procerus
1236178882,chloroplast Cystopteris chinensis
1236178971,chloroplast Deparia lancea
1236179060,chloroplast Deparia pycnosora
1236179149,chloroplast Deparia viridifrons
1236179238,chloroplast Diplaziopsis cavaleriana
1236179326,chloroplast Diplaziopsis javanica
1236179415,chloroplast Diplazium bellum
1236179504,chloroplast Diplazium dilatatum
1236179593,chloroplast Diplazium dushanense
1236179682,chloroplast Diplazium striatum
1236179771,chloroplast Diplazium unilobum
1236179855,chloroplast Dryopteris decipiens
1236179944,chloroplast Homalosorus pycnocarpos
1236180033,chloroplast Hymenasplenium unilaterale
1236180121,chloroplast Hypodematium crenatum
1236180210,chloroplast Macrothelypteris torresiana
1236180299,chloroplast Matteuccia struthiopteris (ostrich fern)
1236180388,chloroplast Onoclea sensibilis
1236180477,chloroplast Thelypteris aurita
1236180566,chloroplast Rhachidosorus consimilis
1236180655,chloroplast Stegnogramma sagittifolia
1236180743,chloroplast Woodsia macrochlaena
1236180832,chloroplast Woodsia polystichoides
1238821723,chloroplast Athyrium anisopterum
1238821811,chloroplast Lepisorus clathratus
1241922247,chloroplast Athyrium sinense
1241922336,chloroplast Austroblechnum melanocaulon
1241922425,chloroplast Deparia pycnosora
1241922514,chloroplast Deparia viridifrons
1241922603,chloroplast Diplaziopsis cavaleriana
1241922691,chloroplast Diplazium dushanense
1241922780,chloroplast Diplazium striatum
1241922869,chloroplast Hypodematium crenatum
1241928788,chloroplast Schizaea elegans
1241928872,chloroplast Schizaea pectinata
1241929685,chloroplast Ampelopteris elegans
1241929774,chloroplast Athyrium sheareri
1241929863,chloroplast Asplenium pekinense
1241929952,chloroplast Asplenium prolongatum
1241930040,chloroplast Athyrium opacum
1241930129,chloroplast Cyclosorus procerus
1241930218,chloroplast Cystopteris chinensis
1241930307,chloroplast Deparia lancea
1241930396,chloroplast Diplaziopsis javanica
1241930485,chloroplast Diplazium bellum
1241930574,chloroplast Diplazium dilatatum
1241930663,chloroplast Diplazium unilobum
1241930747,chloroplast Dryopteris decipiens
1241930836,chloroplast Homalosorus pycnocarpos
1241930925,chloroplast Hymenasplenium unilaterale
1241931013,chloroplast Macrothelypteris torresiana
1241931102,chloroplast Matteuccia struthiopteris (ostrich fern)
1241931191,chloroplast Onoclea sensibilis
1241931280,chloroplast Thelypteris aurita
1241931369,chloroplast Rhachidosorus consimilis
1241931458,chloroplast Stegnogramma sagittifolia
1241931546,chloroplast Woodsia macrochlaena
1241931635,chloroplast Woodsia polystichoides