Taxon,Accession
Adiantum capillus-veneris, NC_004766
Alsophila spinulosa ,NC_012818
Angiopteris angustifolia, NC_026300
Angiopteris evecta, NC_008829
Azolla caroliniana, KC626076
Ceratopteris richardii, KM052729
Cheilanthes lindheimeri, NC_014592
Cystopteris protrusa, KP136830
Cyrtomium devexiscapulae, NC_028542
Cyrtomium falcatum, NC_028705
Dicksonia antarctica (fragment), HM021802
Dicksonia squarrosa, KJ569698
Diplopterygium glaucum, NC_024158
Dipteris conjugata, KP136829
Equisetum arvense (USA), NC_014699
Equisetum arvense (Korea), JN968380
Equisetum arvense (fragment), HQ658110
Equisetum hyemale, NC_020146
Equisetum hyemale (fragment), KC610090
Equisetum ramosissimum (fragment), HQ658109
Gleichenia japonica (fragment), HM021798
Lygodium japonicum, NC_022136
Mankyua chejuensis, NC_017006
Marsilea crenata, NC_022137
Marsilea mutica (fragment), HM021801
Ophioglossum californicum, NC_020147
Osmundastrum cinnamomeum, NC_024157
Osmundastrum cinnamomeum (fragment), HM021799
Plagiogyria formosana, KP136831
Plagiogyria japonica (fragment), HQ658099
Polypodium glycyrrhiza, KP136832
Psilotum nudum, NC_003386
Pteridium aquilinum subsp. aquilinum, NC_014348
Tmesipteris elongata, KJ569699
Vandenboschia radicans (fragment), HM021800
Woodwardia unigemmata, NC_028543 